Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINZ25;24/10/2025;18:20:00;148.855;148.900;148.810;148.815;906.815.231,00;30.464
WINZ25;24/10/2025;18:15:00;148.910;148.950;148.830;148.850;714.557.693,00;23.996
WINZ25;24/10/2025;18:10:00;148.905;148.925;148.870;148.915;529.516.705,00;17.781
WINZ25;24/10/2025;18:05:00;148.880;148.915;148.855;148.910;327.702.853,00;11.005
WINZ25;24/10/2025;18:00:00;148.910;148.920;148.845;148.880;477.995.361,00;16.053
WINZ25;24/10/2025;17:55:00;148.895;148.945;148.880;148.910;606.307.182,00;20.357
WINZ25;24/10/2025;17:50:00;148.915;148.915;148.880;148.890;332.753.053,00;11.174
WINZ25;24/10/2025;17:45:00;148.890;148.930;148.885;148.910;451.768.124,00;15.169
WINZ25;24/10/2025;17:40:00;148.885;148.900;148.875;148.895;293.371.468,00;9.852
WINZ25;24/10/2025;17:35:00;148.890;148.895;148.875;148.890;207.489.555,00;6.968
WINZ25;24/10/2025;17:30:00;148.840;148.905;148.840;148.890;726.651.198,00;24.404
WINZ25;24/10/2025;17:25:00;148.845;148.875;148.825;148.845;917.593.122,00;30.823
WINZ25;24/10/2025;17:20:00;148.930;148.935;148.845;148.850;1.268.551.002,00;42.604
WINZ25;24/10/2025;17:15:00;148.925;148.940;148.895;148.925;722.507.385,00;24.259
WINZ25;24/10/2025;17:10:00;148.930;148.950;148.905;148.925;680.366.175,00;22.843
WINZ25;24/10/2025;17:05:00;148.940;148.955;148.910;148.935;708.340.795,00;23.780
WINZ25;24/10/2025;17:00:00;148.905;148.980;148.885;148.935;1.638.860.949,00;55.021
WINZ25;24/10/2025;16:55:00;148.890;148.915;148.870;148.905;1.118.906.861,00;37.574
WINZ25;24/10/2025;16:50:00;148.900;148.905;148.835;148.890;1.820.072.050,00;61.132
WINZ25;24/10/2025;16:45:00;148.900;148.935;148.875;148.900;1.389.897.768,00;46.672
WINZ25;24/10/2025;16:40:00;148.890;148.930;148.880;148.900;1.252.265.382,00;42.048
WINZ25;24/10/2025;16:35:00;148.875;148.915;148.870;148.890;1.103.919.456,00;37.071
WINZ25;24/10/2025;16:30:00;148.870;148.885;148.840;148.880;812.375.645,00;27.286
WINZ25;24/10/2025;16:25:00;148.875;148.900;148.860;148.870;831.181.468,00;27.914
WINZ25;24/10/2025;16:20:00;148.870;148.885;148.835;148.875;1.202.768.646,00;40.399
WINZ25;24/10/2025;16:15:00;148.895;148.905;148.840;148.870;2.006.500.993,00;67.390
WINZ25;24/10/2025;16:10:00;148.910;148.925;148.890;148.895;921.685.440,00;30.948
WINZ25;24/10/2025;16:05:00;148.935;148.950;148.895;148.910;1.329.983.141,00;44.654
WINZ25;24/10/2025;16:00:00;148.940;148.990;148.920;148.940;1.897.328.924,00;63.684
WINZ25;24/10/2025;15:55:00;148.930;148.955;148.900;148.940;1.410.864.198,00;47.367
WINZ25;24/10/2025;15:50:00;148.900;148.930;148.850;148.925;1.776.923.789,00;59.674
WINZ25;24/10/2025;15:45:00;148.925;148.930;148.875;148.900;1.175.164.684,00;39.462
WINZ25;24/10/2025;15:40:00;148.930;148.950;148.910;148.925;668.331.611,00;22.438
WINZ25;24/10/2025;15:35:00;148.925;148.965;148.900;148.930;1.429.485.863,00;47.991
WINZ25;24/10/2025;15:30:00;148.950;148.975;148.875;148.920;2.264.154.843,00;76.023
WINZ25;24/10/2025;15:25:00;148.930;148.985;148.925;148.950;1.013.458.871,00;34.018
